DEBUG: General     , 1672622667624> 8.323.384> LoggerManager.init                  > Initializing...
LOG  : General     , 1672622667687> 8.323.438> cachedir set to "C:\Users\Leonardo\Zomboid"
LOG  : General     , 1672622667782> 8.323.532> version=41.78.16 demo=false
LOG  : General     , 1672622667783> 8.323.533> revision= date= time=
LOG  : General     , 1672622667785> 8.323.535> server name is "SALV"
LOG  : General     , 1672622667785> 8.323.536> checking server WorldVersion in map_t.bin
LOG  : General     , 1672622667787> 8.323.537> Loading networking libraries...
LOG  : General     , 1672622667788> 8.323.538> Loading steam_api64...
LOG  : General     , 1672622667793> 8.323.543> Loading RakNet64...
LOG  : General     , 1672622667796> 8.323.546> Loading ZNetJNI64...
LOG  : Network     , 1672622667924> 8.323.675> [01-01-23 22:24:27.924] > ZNet: SetLogLevel 1
LOG  : Network     , 1672622667926> 8.323.676> [01-01-23 22:24:27.926] > ZNet: Compiled with SERVER_STEAMAPI == 0
LOG  : Network     , 1672622667927> 8.323.677> [01-01-23 22:24:27.927] > ZNet: Starting with bServer == true
LOG  : Network     , 1672622667927> 8.323.677> [01-01-23 22:24:27.927] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1672622667927> 8.323.677> SteamUtils initialised successfully
LOG  : General     , 1672622675490> 8.331.241> translator: language is PT
LOG  : General     , 1672622675697> 8.331.448> LightingFPS set to 15
LOG  : General     , 1672622675720> 8.331.471> reading C:\Users\Leonardo\Zomboid\Server\SALV.ini
LOG  : General     , 1672622675722> 8.331.473> writing C:\Users\Leonardo\Zomboid\Server\SALV.ini
LOG  : Network     , 1672622675734> 8.331.484> [01-01-23 22:24:35.733] > ZNet: SZombienet -> SZombienet: Init
LOG  : Network     , 1672622675865> 8.331.616> [01-01-23 22:24:35.865] > ZNet: SteamGameServer seems to be initialized
LOG  : Network     , 1672622675866> 8.331.617> [01-01-23 22:24:35.866] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : Network     , 1672622675866> 8.331.617> [01-01-23 22:24:35.866] > ZNet: SetServerName 'My PZ Server'
LOG  : Network     , 1672622675867> 8.331.617> [01-01-23 22:24:35.867] > ZNet: SetMapName 'vehicle_interior;ModTemplateWorld1;ModTemplateWorld2;Muldraugh, KY'
LOG  : Network     , 1672622675867> 8.331.618> [01-01-23 22:24:35.867] > ZNet: SetGameTags 'hidden;hosted'
LOG  : Network     , 1672622675868> 8.331.619> [01-01-23 22:24:35.868] > ZNet: SetKeyValue key='description' value=''
